form,lemma,subgroup
there,there,ambiguous
switched,switch,changed
the,the,ambiguous
towed,tow,rare
able,able,easy
Web,web,ambiguous
Courteous,courteous,rare
you,your,ambiguous
the,the,ambiguous
giving,give,changed
Thank,thank,easy
in,in,irregular
Finance,finance,easy
APEC,APEC,rare
additional,additional,easy
Jordan,Jordan,rare
"""","""",irregular
get,get,easy
",",",",irregular
you,you,ambiguous
cash,cash,easy
I,I,irregular
soon,soon,easy
comes,come,changed
quite,quite,easy
-,-,irregular
Forest,Forest,rare
divided,divide,changed
Collins,Collins,rare
kolkatta,Kolkata,changed
websites,website,changed
back,back,easy
want,want,easy
volalatility,volalatility,rare
over,over,ambiguous
days,day,changed
the,the,ambiguous
Equistar,Equistar,rare
have,have,easy
our,our,easy
the,the,ambiguous
statues,statue,changed
put,put,easy
uthja,uthja,rare
friends,friend,changed
you,you,ambiguous
reviews,review,changed
dreams,dream,rare
sympathise,sympathise,rare
device,device,rare
up,up,irregular
a,a,irregular
the,the,ambiguous
713.853.3102,713.853.3102,rare
States,State,changed
Invercargill,Invercargill,easy
you,you,ambiguous
I,I,irregular
",",",",irregular
exhibits,exhibit,changed
",",",",irregular
