form,lemma,subgroup
n't,not,irregular
Waseem,Waseem,rare
blowing,blow,changed
",",",",irregular
the,the,ambiguous
",",",",irregular
kolkatta,Kolkata,changed
accomplices,accomplice,rare
(,(,irregular
the,the,ambiguous
for,for,easy
"""","""",irregular
bathroom,bathroom,rare
deals,deal,changed
air,air,easy
gifts,gift,changed
to,to,irregular
(,(,irregular
bullshit,bullshit,rare
Forest,Forest,rare
training,train,ambiguous
electrical,electrical,rare
working,work,ambiguous
the,the,ambiguous
the,the,ambiguous
09:36:00,09:36:00,rare
",",",",irregular
the,the,ambiguous
Arriving,arrive,rare
resources,resource,changed
timely,timely,rare
.,.,irregular
results,result,changed
charles,Charles,rare
governments,government,changed
them,they,ambiguous
4.355,4.355,rare
the,the,ambiguous
02:45:50,02:45:50,rare
the,the,ambiguous
the,the,ambiguous
-,-,irregular
on,on,irregular
the,the,ambiguous
matters,matter,changed
catagory,category,changed
prices,price,changed
announced,announce,changed
Wii,Wii,rare
you,you,ambiguous
",",",",irregular
my,my,irregular
",",",",irregular
extended,extended,rare
coarse,coarse,rare
.,.,irregular
",",",",irregular
you,you,ambiguous
emphemeral,emphemeral,rare
elections,election,changed
the,the,ambiguous
a,a,irregular
linens,linen,rare
giving,give,changed
I,I,irregular
the,the,ambiguous
you,you,ambiguous
to,to,irregular
legs,leg,changed
together,together,easy
pages,page,changed
suppose,suppose,easy
DFW,DFW,rare
one,one,easy
rat,rat,rare
in,in,irregular
them,they,ambiguous
US,US,irregular
when,when,easy
address,address,easy
must,must,easy
or,or,irregular
",",",",irregular
the,the,ambiguous
out,out,ambiguous
ground,ground,rare
and,and,easy
Mike,Mike,easy
uthja,uthja,rare
sounds,sound,changed
the,the,ambiguous
I,I,irregular
PERFORMANCE,performance,easy
years,year,changed
asked,ask,changed
saving,saving,rare
anti-Shiite,anti-Shiite,rare
volalatility,volalatility,rare
statues,statue,changed
This,this,easy
lesson,lesson,rare
servers,server,changed
ppl,people,irregular
Confidentiality,confidentiality,rare
slower,slow,changed
APEC,APEC,rare
),),irregular
Most,most,easy
Kaminski,Kaminski,rare
2/14/2005,2/14/2005,rare
Anita,Anita,easy
give,give,easy
and,and,easy
Attentive,attentive,rare
the,the,ambiguous
Blanche,Blanche,rare
talked,talk,changed
Clinton,Clinton,easy
koreans,Korean,changed
ruth.penyc...@bbc.co.uk,ruth.penyc...@bbc.co.uk,rare
tummy,tummy,rare
scale,scale,rare
to,to,irregular
stars,star,changed
TX,TX,irregular
Everything,everything,easy
-,-,irregular
-,-,irregular
remaining,remain,changed
Friday,Friday,easy
the,the,ambiguous
ways,way,changed
come,come,easy
guys,guy,ambiguous
have,have,easy
up,up,irregular
can,can,easy
the,the,ambiguous
talking,talk,changed
websites,website,changed
cory,cory,rare
preliminary,preliminary,rare
acts,act,changed
exhibits,exhibit,changed
Web,web,ambiguous
compliments,compliment,rare
contemplating,contemplate,rare
frame,frame,rare
sony,Sony,rare
including,include,changed
Fourth,Fourth,rare
tracking,track,changed
Shiites,Shiite,changed
the,the,ambiguous
Two,two,ambiguous
Title,title,rare
713.853.3102,713.853.3102,rare
is,be,irregular
able,able,easy
greasy,greasy,rare
comes,come,changed
it,it,irregular
over,over,ambiguous
11:58,11:58,rare
in,in,irregular
Finance,finance,easy
the,the,ambiguous
additional,additional,easy
ideas,idea,changed
Nations,Nation,changed
get,get,easy
getting,get,changed
eat,eat,easy
component,component,rare
cash,cash,easy
incident,incident,rare
blowing,blow,changed
them,they,ambiguous
Houston,Houston,easy
you,you,ambiguous
sausages,sausage,changed
soon,soon,easy
them,they,ambiguous
ill,ill,rare
towed,tow,rare
quite,quite,easy
finished,finish,ambiguous
can,can,easy
the,the,ambiguous
Nation,nation,rare
to,to,irregular
the,the,ambiguous
websites,website,changed
-,-,irregular
the,the,ambiguous
lots,lot,changed
out,out,ambiguous
744,744,rare
back,back,easy
the,the,ambiguous
want,want,easy
foiled,foil,changed
I,I,irregular
videos,video,changed
.,.,irregular
turning,turn,changed
was,be,irregular
it,it,irregular
have,have,easy
our,our,easy
every,every,ambiguous
Joe,Joe,rare
bodybuilding,bodybuilding,rare
put,put,easy
the,the,ambiguous
States,State,changed
So,so,irregular
commercialization,commercialization,rare
years,year,changed
we,we,irregular
you,you,ambiguous
affect,affect,rare
ounces,ounce,changed
the,the,ambiguous
TEACHING,teaching,rare
you,you,ambiguous
him,he,irregular
a,a,irregular
go,go,irregular
any,any,ambiguous
wash,wash,easy
the,the,ambiguous
letter,letter,easy
days,day,changed
the,the,ambiguous
Collins,Collins,rare
pints,pint,changed
?,?,irregular
topped,top,changed
Invercargill,Invercargill,easy
PX,px,irregular
with,with,easy
.,.,irregular
Gold,Gold,rare
burger,burger,ambiguous
provided,provide,changed
to,to,irregular
